Categories,keywords
Generator,generator ac dc voltage adjuster regulator
Electrical Distribution,transformer kv switchyard motor electrical elect circuit breaker
Condensate System,condensate desuperhtr deaerator condenser
Feed Water,feedwater superheater feed pump drum
Water Treatment and Sampling,treatment sampling
Lime Slurry Preparation,slaker lime slurry storage silo grit slaking water
Auxilary Water,raw demineralized waste service stormwater 
Closed Cooling Water,water id fans hydrogen
Service Air,service pressure control instrument plant silencer compressor 
Refuse Receiving and Handling,refuse scale tipping floor bay crane bulky hopper scale
Fire Protection,diesel fire diesel sprinkler sys protection
Ash Removal,ash removal bottom fly extr sifting belt conveyor mill pugmill slipstick rotary
Metals Recovery,ferrous ferr
Digital Control System,control power supply panel module 
DENOX,ammonia denox
Carbon Injection,electrostatic carbon
Boiler-Furnace Combustion,combustion flue gas chute ram roller grates
Fuel Oil,fuel oil
Scrubber,purge scrubber precyclone cleaning ring
CEMS/Baghouse,opacity
Boiler and Steam Generator,blowdown economizer drum
Main/Aux Steam,steam soot blower
Main Turbine,turbine turb
